AQI,weekday,speed,travel_time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Precipitation,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Conditions,Wx,Wy,Day sin,Day cos,Year sin,Year cos
50.0,5.0,34.732532051282064,167.90064102564102,38.399999999999785,38.399999999999785,38.399999999999785,33.29999999999995,81.74000000000045,0.0,0.0,9.900000000000054,2.3999999999999866,999.4000000000004,0.0,-0.7276909178621592,-3.4235166025683195,0.965925826288898,0.2588190451031557,0.0186352630793379,0.999826348407544
51.0,5.0,30.6596794871795,196.3205128205128,36.600000000000215,36.600000000000215,36.600000000000215,32.799999999999955,85.9900000000005,0.0,0.0,9.900000000000054,4.799999999999973,999.5999999999996,0.0,0.1395129474882504,-1.9951281005196488,1.0,5.935147809731986e-12,0.0193519161386616,0.9998127341366292
51.0,5.0,28.288076923076925,212.15705128205127,35.60000000000021,35.60000000000021,35.60000000000021,32.0,86.79000000000059,0.0,0.0,9.900000000000054,4.299999999999975,1000.0999999999996,0.0,0.6064021827974003,-2.114775731064307,0.9659258262919704,-0.2588190450916898,0.0200685592554167,0.9997986061849716
51.0,5.0,26.146891025641008,232.34294871794876,34.5,34.5,34.5,31.89999999999981,89.84999999999955,0.0,0.0,9.900000000000054,4.299999999999975,1001.0,0.0,0.8732661536483984,-0.2177297060397015,0.8660254037854082,-0.4999999999983208,0.0207851920614086,0.9997839645598294
51.0,5.0,25.897948717948708,244.14743589743588,36.5,36.5,36.5,33.20000000000005,87.79999999999953,0.0,0.0,9.900000000000054,1.399999999999993,1002.0,0.0,0.2999999999999983,0.0,0.7071067811916506,-0.7071067811814444,0.0215018141884477,0.9997688092687256
51.0,5.0,25.1565705128205,264.12179487179486,39.79999999999984,39.79999999999984,39.79999999999984,33.89999999999981,79.2400000000004,0.0,0.0,9.900000000000054,0.0,1003.2999999999942,0.0,2.915639788344887,-2.277947458704951,0.5000000000108207,-0.8660254037781913,0.0222184252683502,0.9997531403194464
52.0,5.0,25.10516025641028,250.72115384615384,43.89999999999976,43.89999999999976,43.89999999999976,34.6000000000002,69.37000000000002,0.0,0.0,9.900000000000054,0.0,1003.2000000000058,0.0,4.440908156479602,-2.0708294825294384,0.2588190451056316,-0.9659258262882348,0.0229350249329378,0.9997369577200422
52.0,5.0,25.079499999999992,272.5692307692308,47.100000000000215,47.100000000000215,47.100000000000215,35.699999999999974,64.37000000000033,0.0,0.0,9.900000000000048,0.0,1002.7999999999952,0.0,5.800369837034582,2.704756875140487,8.498491961326505e-12,-1.0,0.0236516128140381,0.9997202614788272
52.0,5.0,26.21227564102566,242.13141025641025,50.5,50.5,50.5,35.700000000000095,56.690000000000055,0.0,0.0,9.900000000000054,2.3999999999999866,1002.0999999999996,0.0,3.397928811864913,0.1186582887885028,-0.2588190451032699,-0.9659258262888676,0.0243681885434848,0.9997030516043798
52.0,5.0,26.63307692307693,229.55128205128204,53.10000000000024,53.10000000000024,53.10000000000024,36.39999999999979,52.95000000000029,0.0,0.0,9.900000000000054,2.3999999999999866,1001.7000000000058,0.0,6.041094401668489,1.3946965369319702,-0.4999999999961009,-0.8660254037866898,0.0250847517531178,0.9996853281055416
53.0,5.0,24.86246794871794,236.93910256410257,52.10000000000025,52.10000000000025,52.10000000000025,36.39999999999979,54.989999999999895,0.0,0.0,9.900000000000054,2.3999999999999866,1002.0999999999996,0.0,7.889173324561179,0.4134540543192586,-0.7071067811796319,-0.7071067811934632,0.0258013020748402,0.9996670909914174
53.0,5.0,22.334935897435884,333.8878205128205,49.89999999999975,49.89999999999975,49.89999999999975,36.39999999999979,59.70000000000034,0.0,0.0,9.900000000000054,1.399999999999993,1003.2000000000058,0.0,8.180025212130547,0.5720030847018267,-0.8660254037841856,-0.5000000000004383,0.0265178391403913,0.9996483402713798
